Candidate Name,Office,Region,Question Order,Question,Answer,URL
David Tveraas,Richland City Council Pos 4,Richland,3,What areas of public policy are you personally passionate about?,"The incoming Data Center and Fertilizer Plant is concerning. While the possibility of more jobs is generally a good thing, Data Centers often lose most of these roles once the facility is complete. Both Facilities are types of operations capable of immense pollution. I've heard claims that these are allegedly clean facilities that won't destroy our environment the way they have in other cities. I find that a hard pill to swallow and I image you may too. I pledge to get to the bottom of what precisely is planned for our city and to protect the people of Richland from the likely fallout.","https://ballotpedia.org/David_Tveraas_(Richland_City_Council_Position_4,_Washington,_candidate_2026)"
Ann Marie Danimus,U.S. House District 5,United States,1,Who are you? Tell us about yourself.,"Ann Marie Danimus has deep roots in Washington and a vision of prosperity for WA-05 and is a successful and educated entrepreneur who specializes in small business development. She’s a fighter, a survivor and a problem solver. She was brought low, physically and financially, by a double organ transplant, then rebuilt her life and will draw on that experience to help rebuild the 5th. She is the only candidate for the 5th with a comprehensive plan for economic development. Her plans rest on three core tenets: BRINGING BUSINESS BACK: expanding small business services and loans, helping micro businesses, supporting regionalized and sustainable farming and focusing on current/future green manufacturing and energy needs and initiatives. BUILDING OUR FUTURE: investing in our children’s education, expanding trade schools, reducing college fees and loans and expanding broadband access in our rural communities. LEAVING NO ONE BEHIND: supporting legislation towards universal healthcare, support for rural areas, seniors and those living with disabilities, reinforcing laws that protect equal rights and representation for ALL Americans. She will fight for our veterans to receive help and treatment while on active duty and beyond by supporting expansion of the TAP program and increasing mental health outreach to help our Veterans.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"BRINGING BUSINESS BACK:expanding small business services and loans, helping micro businesses, supporting regionalized and sustainable farming and focusing on current/future green manufacturing and energy needs and initiatives.BUILDING OUR FUTURE: investing in our children’s education, expanding trade schools, reducing college feesLEAVING NO ONE BEHIND: supporting legislation towards universal healthcare, support for rural areas, seniors and those living with disabilities, reinforcing laws that protect equal rights and representation for ALL Americans. She will fight for our veterans to receive help and treatment while on active duty and beyond by supporting expansion of the TAP program and increasing mental health outreach to help our Veterans.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,3,What areas of public policy are you personally passionate about?,"Support for small business, universal healthcare, supporting small farms, veteran care, environmental health, senior care and people living with disabilities.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,4,"Who do you look up to? Whose example would you like to follow, and why?","My hero will always be my maternal grandfather who everyone called ""Cotton"" because oof his white-blond hair when he was in the service. He was a little gruff, but kind, self-educated and ethical. he also had a great sense of humor and I respect the way. he treated people well, but at the same time would stand up and say something if needed.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,5,"Is there a book, essay, film, or something else you would recommend to someone who wants to understand your political philosophy?",To Kill a Mockingbird was very important to me when I first read it as a child and the lessons of Atticus Finch with regards to doing what was right even though it was not always easy is a lesson that has stuck with me throughout my life.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,6,What characteristics or principles are most important for an elected official?,"Ethics, a focus on servitude and statesmanship.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,7,What qualities do you possess that you believe would make you a successful officeholder?,I am a natural leader and problem solver. I have always had a talent for creating or finding symbiotic relationships. I have always been someone that has taken my civic duty very seriously and that has extended into lifelong participation in community service.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,8,What do you believe are the core responsibilities for someone elected to this office?,Uphold your oath and to serve the people of your district while at the same time addressing issues of national concern.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,9,What legacy would you like to leave?,I would like to leave the world a better place than I found it at least some small ways.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,10,What is the first historical event that happened in your lifetime that you remember? How old were you at the time?,I was 16 years old when the US challenger exploded. I came out into the hallway in school because we weren’t watching it on television and everyone was really sad. I found out what happened and watched it later that night on the news.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,11,What was your very first job? How long did you have it?,My first job was a work-study job at my dance studio when I was 12 years old and I did that for two years. My first W-2 job was when I was 16 and I worked at McDonald’s.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,12,What is your favorite book? Why?,I won’t pick. Too many. More to find.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,13,"If you could be any fictional character, who would you want to be?",Norma Rae,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,14,What was the last song that got stuck in your head?,Let’s get it started by the Black Eyed Peas. Please make it stop!,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,15,What is something that has been a struggle in your life?,"Living with a medical disability. I am a type one diabetic and I’ve had a double transplant which included 28 surgeries mini procedures including dialysis, seizures broken bones and rehabilitation amongst other things. I almost lost my life three times. I have come back from that, stronger than ever. But it was something that changed me as a person and really defined for me what I needed to fight for.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,16,What qualities does the U.S. House of Representatives possess that makes it unique as an institution?,"The lower house has the purpose of direct representation of the people. While the Senate, equal in power from each state, focuses more on the position of each state. Our representatives should be serving the needs and interests of the people who reside in their particular district. The balance of those district needs with the needs of the nation and the balance of power throughout the body of Congress holds its purpose together in serving both our national needs and our regional ones.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,17,Do you believe that it's beneficial for representatives to have previous experience in government or politics?,"Not at all. As a body, the house is best served when there is diversity in life experience. It should be representative of the body public. Every representative should have certain skills to ensure that we have people who understand their duties and their purpose as well as the ability to effectively create policy.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,18,What do you perceive to be the United States' greatest challenges as a nation over the next decade?,"I think that financial corruption in the United States and the influence that money has had on our political system has had a detrimental effect. We have lost our manufacturing base and small farms and small towns are dying. We have tremendous income disparity, a growing homeless problem and medical care is bankrupting are citizens. Trickle-down economics has taken a tremendous toll on the strength of this nation and the ability for working families to survive. All of this has happened over the last 40 years and it will take a tremendous effort to bring us back. It’s one of the reasons I have taken a pledge to not take one penny of corporate money ever.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,19,"If you are not a current representative, are there certain committees that you would want to be a part of?","The appropriations committee for agriculture and rule development and the FDA Labor, health and human services Military personnel Any of the small business committees, but especially underserved agricultural and rural development",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,20,"If you are a current representative, why did you join your current committees?",N/A,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,21,Do you believe that two years is the right term length for representatives?,"I would like to see the terms a bit longer, but with term limits. I think that the constant campaigning and fundraising and politicking gets in the way of the job. 3 to 4 years as a representative with 3 to 4 terms, I believe would better serve the people.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,22,What are your thoughts on term limits?,"I absolutely support them. Too long in office creates too much individual power. Although there are some exceptions, that power tends to corrupt and you see many politicians lose sight of their oath. The job of an elected official is to represent the people and not their own interests or the interests of those who donate to their campaigns.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,23,"Is there a particular representative, past or present, whom you want to model yourself after?",There are many representatives that I have admired and mostly that has been due to their ethics and their dedication to service. I think it is most important that I focus on being the best that I can be and taking care of the problems that face our nation today. I would emulate those who have gone before me that have behaved as a civil servant and not as a political powerhouse. I would constantly strive to be the best representative that I can.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,24,"Both sitting representatives and candidates for office hear many personal stories from the residents of their district. Is there a story that you’ve heard that you found particularly touching, memorable, or impactful?","The stories I hear from Elder Americans about how hard it is for them to survive. These have a tremendous impact on me because my mother is elderly. Also, stories of how small farms struggle to keep up with a market that has taken away their ability to compete. These are two communities that we have essentially abandoned and they have much to contribute to our society and we owe them a tremendous amount. I think that they have been highly overlooked and that their needs are not being properly represented. These stories stick with me. Also, as someone who is disabled, I hear from other people who live with disabilities and we have left them behind when so little more could be invested that they might live fuller lives.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,25,Tell us your favorite joke.,"I can’t. I’m a politician, now!",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,26,Do you believe that compromise is necessary or desirable for policymaking?,Absolutely. But that only works when we have the same goals. The extremes on both sides of the political spectrum in this country are pulling it apart and control a tremendous amount of the dialogue. We are seeing minority rule when the majority of Americans have expressed a desire for a particular policy and it is undermined by a powerful minority. We need to start electing people who will hold to their oath to represent what is best and most desirable for the majority of our population.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,27,The Constitution says that all bills for raising revenue must originate in the House. What role would this power play in your priorities if elected?,"We have great income disparity in our country. This has, in large part, been due to the inequities in our tax system. Small businesses are responsible for 50% of our GNP an employee almost 75% of our workforce and they also pay a tremendous part of our tax bill well larger companies often pay nothing. This needs to be rectified.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,28,Who are you? Tell us about yourself.,"As a MarCom executive with an emphasis on small business development, ideation and creative strategy, my job is to cut costs, fix policy and grow business. I can do that for Washington state. I am recognized professionally for both my passion and precision. I have 38 years of community service experience and have been awarded the ""Washington Cares for Children"" Community Service Award. It's where I SHINE and ￼I will bring my A-game to the legislature. My BA is from Washington State University and I have been a Spokane resident since 1986, but have also livened in Mexico, Seattle and Los Angeles. I founded a non-profit which produces films that educate the public about social issues in which I am the Executive Director and resident filmmaker. A large part of my life has been centered on community involvement in politics and I would bring to the legislature a wide variety of skills including strategy, negotiation and the development of symbiotic relationships. Serving my community as a Senator would be an honor and I am 100% dedicated to finding the best solutions to move Washington forward.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,29,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"Investment-style policy that helps to cut costs by prioritizing problems with high collateral damage and trim the fat and restructure to economize and increase efficiency in government.Correct discrepancies in our tax system by first changing our B&O system to include tax brackets and a one year waiver on B&O for new small businesses 10M Gross and under.Individual rights must be championed on every level of society. Correcting inequities, evaluating current policy and establishing new oversight to deliver on the promise of equal rights is a priority for me in and out of government.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,30,What areas of public policy are you personally passionate about?,"Since a young age, I have been committed to individual rights and equal rights. I am a small business advocate which is reflected by my profession as a MarCom executive and small business development specialist. The new business mantra of ""find a need and fill it"" should apply most importantly to green businesses development to both protect our natural resources and grow our economy in an intelligent way. The needs of women, children, minorities, people who live with disability and the elderly are always in the forefront of my mind when examining or proposing policy to unsure they are not left behind.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,31,"Who do you look up to? Whose example would you like to follow, and why?","Ultimately, my hero will always be my maternal grandfather who everyone called ""Cotton"" because of his white-blond hair when he was in the service. He was a little gruff, but kind, self-educated and ethical. he also had a great sense of humor and I respect the way. he treated people well, but at the same time would stand up and say something if needed.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,32,What characteristics or principles are most important for an elected official?,"Honesty, transparency, ethics and Constitutional efficacy. We serve our constituents, not ourselves. We must work twice as hard for the people who did not vote for us as those that do. We need to focus in decisions that serve the majority, but make allowances for the minority to make sure they are not left behind.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,33,What qualities do you possess that you believe would make you a successful officeholder?,"Organized, efficient and passionate, I am an excellent negotiator and have a knack with symbiotic relationships and designing systems. I get along with moat people and can almost always find commonality.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,34,What do you believe are the core responsibilities for someone elected to this office?,"To use your best judgment and skills to satisfy the needs of your constituents balanced with what is best for the state. Mostly, these things are parallel, but every district s unique. You need to advocate for your people at all times, but work for policy that will serve all Washingtonians.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,35,What legacy would you like to leave?,Equality in all things is very important to me whether it be taxes and education access or equal rights for minorities. This is not something you fix nee and are done; it is an ongoing job to always seek balance and fairness in society. I hope that I can move the needle in all of these areas as well as to help develop a system of making sure we are not leaving people behind with new policy. I also want to transform Washington into a more business-friendly state.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,36,What is the first historical event that happened in your lifetime that you remember? How old were you at the time?,"When I was a little girl, I was playing in the living room and listening to the radio. I heard the man say, ""And if you have not yet heard, Elis Presley has died."" I screamed to my mom in the kitchen, ""MOM! Do you know Elvis?"" When I told her what I heard and she burst into tears, I knew he was important to a lot of people. I was 7. A more traditional example would have been the explosion of the Challenger which was the first event that I remember and understood completely. I was 15 years old.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,37,What was your very first job? How long did you have it?,My first job was a work-study program at my dance studio. I worked in the office for about a year in exchange for classes. My first W-2 job was at McDonald's during High School where I worked for a year and a half.,https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,38,What was the last song that got stuck in your head?,"""Sound Over All Waters"" from Missa Gaia by Paul Winter. It's about overcoming difficult times and finding peace and good will.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,39,What is something that has been a struggle in your life?,"I have a had a double organ transplant and it has been challenging on a physical, financial and emotional level. With 23 surgeries, years of dialysis and many broken bones and mobility issues, I learned a lot about myself and realized more strength and perseverance than I ever thought possible.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,40,Do you believe that it’s beneficial for state legislators to have previous experience in government or politics?,"Not necessarily. I think sometimes it can be a hinderance. Being educated on the process and how the system works is always beneficial, of course, but I think each candidate should be judged on their individual merits and what they can bring t the table which may or may not be related to direct political experience.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,41,What do you perceive to be your state’s greatest challenges over the next decade?,"Our tax system is the most regressive in the nation. We still have a B&O tax system which, in my opinion, is levied unfairly and our relative income tax results in the poor paying 6 times as much as the wealthy. We have a legal block on creating an income tax and if we were able to do that, we would have to restructure the entire system from top to bottom. It is something that I think needs to happen, but there are some obstacles to overcome. In the meantime, we need to look for ways to better balance the system. I have several policy suggestions that I believe can get us in the right track.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,42,What do you believe is the ideal relationship between the governor and the state legislature?,"It is a purposeful balance of power, but clear communication about everyone's gals and priorities are key to efficiently getting good work done for the people. There is little sense in pushing through legislation you know will get vetoed. Sometimes that is the right move, but it demonstrates a lack of negotiation and compromise if it happens frequently.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,43,Do you believe it’s beneficial to build relationships with other legislators? Please explain your answer.,"Absolutely, but most important is the nature of the relationship. It should not be a barter game. Striking deals should happen in the best interest of the people and not to leverage votes for special intent projects. Working together to cover all Washingtonians sometimes takes compromise and often there is an area of the state that needs special attention that is not a priority for your constituents. Supporting that kind of bill will help you next time your area needs some attention, but we should be working together always for everyone's best interest.",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,44,"If you are not a current legislator, are there certain committees that you would want to be a part of?","Ways and Means Labor & Commerce Special Committee on Economic Recovery Financial Institutions, Economic Development & Trade Committee",https://ballotpedia.org/Ann_Marie_Danimus
Ann Marie Danimus,U.S. House District 5,United States,45,"Both sitting legislators and candidates for office hear many personal stories from the residents of their district. Is there a story that you’ve heard that you found particularly touching, memorable, or impactful?","I hear from small businesses all of the time because they are the focus of my profession. The struggle to make payroll and taxes ia real and as much as they want to pay better, they simply can not afford to. I know an owner of a small restaurant that pays more in employment tax than she pays herself. Stories like these are common place and I will carry them with me as I try to make the. necessary changes to help them. and just today I spoke to a man who makes a decent living, but can not afford to pay for health insurance for his wife and kids. He pays cash for their medical because the premiums are so high and fears if something tragic or just expensive should happen to them.",https://ballotpedia.org/Ann_Marie_Danimus
Carmela Conroy,U.S. House District 5,United States,1,Who are you? Tell us about yourself.,"As a third generation eastern Washingtonian and union worker, Carmela Conroy has a sense of duty and determination to serve her community. Rooted in the hard work and resilience of her family, Carmela paid her way through college and law school, returning home to serve as a deputy prosecutor for Spokane County. For four years she sought justice for the survivors of violence and sexual assault. She left home again to join the U.S. Foreign Service. Carmela negotiated access to foreign ports for U.S. Navy ships, bilateral trade agreements, and militia disarmament. Through her service Carmela built connections with veterans, active-duty military personnel, and other national security professionals. Our nation faces complex challenges both at home and abroad, and Carmela has the experience to address them. Dysfunction and partisan extremism in Congress have left critical issues unaddressed, from agricultural policy to national security to the well-being of our communities. As a representative, Carmela will prioritize the needs of Eastern Washington, advocating for agricultural support, affordable healthcare, and economic opportunities for working families. By investing in rural infrastructure, clean energy, and economic diversification, Carmela will work to strengthen our local economy. Carmela will defend our rights and uphold our individual freedoms, including the right to reproductive healthcare.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"Most families across Eastern Washington are struggling to keep up; even veterans are struggling with housing and food insecurity. Housing prices have skyrocketed. Child care and health care are incredibly expensive. Regular folks need a break, not corporate special interests. Carmela will get us that break. Her grandpa worked on the Grand Coulee Dam as a union cement mason. Her dad was a union railroader with the Great Northern (later BNSF) Railroad. As a dues-paying union member of the U.S. Foreign Service, Carmela will negotiate to address costs across our district, including universal access to health care, building out rural broadband, and keeping public funds in public schools.For the first time in American history, the U.S. Supreme Court withdrew its recognition of a Constitutional right to privacy by overturning Roe vs. Wade. Extremists politicians are using this as an excuse to interfere with peoples' most intimate decisions. Other states have passed laws restricting travel, speech, and reproductive health treatment. Clinics in those states are closing, health professionals relocating, and women crossing into Eastern Washington for routine, urgent, and even emergency care. Our next Representative will either vote for a total nationwide abortion ban, or fight to codify our basic human rights. Carmela treasures freedom from government interference, and will fight for it.Our international standing is threatened by Iran and Russia and their proxies, and our democracy by domestic extremists. Some politicians hold our government hostage for partisan advantage, regardless of its cost to service members, seniors, and children. Congressional partisan extremists fight for the sake of fighting. They won’t negotiate in good faith to fulfill their Constitutional duty of passing a budget. As a result, farm families struggle without the predictability of an Agricultural Bill; children are going to bed hungry; our partners in Israel and Ukraine lack the means to defend themselves. Carmela solved problems and promoted our interests for nearly 30 years; let's send her to Congress to get it working again.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,3,What areas of public policy are you personally passionate about?,"For 30 years of public service, Carmela swore to defend a Constitution promising to establish justice, provide for the common defense, promote the general welfare, and ensure the blessings of unity into the future. The drafters had been revolutionaries. They learned that a confederacy was too weak to survive and formed a democratic union with the power to raise revenue. About 80 years later, Americans fought confederates who would have destroyed the union to retain chattel slavery. About 80 years after that, Americans entered WWII to stop genocidal subjugation by aggressors who considered themselves ""master races."" About 80 years on, Americans must again choose national democracy over authoritarianism. Let's do this.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,4,"Is there a book, essay, film, or something else you would recommend to someone who wants to understand your political philosophy?","The Grapes of Wrath, Steinbeck Team of Rivals: The Political Genius of Abraham Lincoln, Kearns Goodwin On the Origins of War and Preservation of Peace, Kagan",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,5,What characteristics or principles are most important for an elected official?,Integrity/Bravery Knowledge Curiosity Humility,https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,6,What do you believe are the core responsibilities for someone elected to this office?,In accordance with the U.S. Constitution: Serve the specific needs of the people of Washington's 5th Congressional District. Promote and defend the interests of the United States of America in international affairs.,https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,7,What is the first historical event that happened in your lifetime that you remember? How old were you at the time?,"When I was about three-and-a-half years old, my mom had taken me shopping, and had me sitting in the grocery cart. When I asked for grapes she said no, we couldn't get grapes. When I asked why, she said it was because the people who picked them had asked us not to. MANY years later I learned about the Delano grape strike, the labor action that resulted in Filipino and Mexican farm workers partnering to organize what would become the United Farm Workers labor union. There are many reasons why I love and am grateful to my parents; one of them is that they instilled the values of respect for others, and solidarity with workers regardless of industry or national origin.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,8,What qualities does the U.S. House of Representatives possess that makes it unique as an institution?,"The people's house, with primary responsibility of the federal purse and of holding accountable officers of the United States, including the President.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,9,Do you believe that it's beneficial for representatives to have previous experience in government or politics?,"Yes. Having experience with systems and how they intersect, and with incorporating the views of diverse stakeholders, benefits constituents because Representatives can hit the ground running and start seeking solutions .",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,10,What do you perceive to be the United States' greatest challenges as a nation over the next decade?,"Public health, writ broadly, must be addressed by government-supported access to care and attention to retaining a survivable climate. Food insecurity on the rise; Infant and maternal mortality rates much higher than other wealthy countries, especially for people of color; Leading cause of death among American children now gun violence, and men in Eastern Washington are more likely than the national average to commit suicide with a gun; yet Congress has prohibited the CDC from studying gun deaths; DoD report that only 20% of American youth are fit for government service; Behavioral health care is unavailable to most; Majority of Americans over age 65 have not one natural tooth left in their heads; U.S. life expectancy has dropped like a stone compared to other wealthy countries",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,11,Do you believe that two years is the right term length for representatives?,"It's established by our Constitution. I'll spend my time fighting for my constituents, instead of seeking a longer term for myself and other representatives--it certainly shouldn't be a shorter term.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,12,What are your thoughts on term limits?,"Not necessarily opposed, but believe that ensuring access to the ballot and limited terms of office are generally sufficient",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,13,"Is there a particular representative, past or present, whom you want to model yourself after?","Thomas S. Foley, former Speaker of the House of Representatives, and representative of Washington's 5th Congressional District from 1965 to 1995.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,14,"Both sitting representatives and candidates for office hear many personal stories from the residents of their district. Is there a story that you’ve heard that you found particularly touching, memorable, or impactful?","Women who have suffered miscarriages, or discovered that they will not be able to give birth to a baby because of fatal abnormality in their pregancy, facing screaming protestors outside of reproductive health clinics. A friend whose OBGYN refused to investigate her abdominal pain, telling her to wait for a month or so. The pain intensified until she sought urgent care, when it was discovered that she had an ectopic pregnancy that could have killed her had she not ignored her own OBGYN.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,15,Do you believe that compromise is necessary or desirable for policymaking?,Necessary,https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,16,The Constitution says that all bills for raising revenue must originate in the House. What role would this power play in your priorities if elected?,"Passing a timely budget, and equitably raising revenue from those who most benefit from government services, would be a top priority.",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,17,How should the U.S. House use its investigative powers?,To investigate high crimes and misdemeanors by officials of the United States whose positional power might otherwise put them out of reach of the investigative powers of the executive branch.,https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,18,What organizations or individuals have endorsed your campaign?,Washington State Labor Council National Education Association/Washington Education Association House Armed Services Committee Ranking Member Adam Smith City of Spokane Mayor Lisa Brown Spokane City Council President Betsy Wilkerson Spokane City Council Members Paul Dillon and Zack Zappone,https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,19,What committees interest you?,"Agriculture Judiciary (Subcommittee on Immigration Integrity, Security, and Enforcement) Armed Services",https://ballotpedia.org/Carmela_Conroy
Carmela Conroy,U.S. House District 5,United States,20,What are your views on financial transparency and government accountability?,"CBO GAO Tax fairness DoD excess, military-industrial comples as Ike warned us",https://ballotpedia.org/Carmela_Conroy
David Womack,U.S. House District 5,United States,1,Who are you? Tell us about yourself.,"I am a retired USAF Colonel, Healthcare Leader, and Community Builder. My wife and I lived on Fairchild AFB, in Colfax, and now we live in Walla Walla. I know the entire district and understand the local issues. I've served others throughout my life and led large, complex organizations with budgets in the hundreds of millions. I've solved tough problems and delivered real results. At Fairchild, I was the Medical Group Commander responsible for the healthcare of 30,000 beneficiaries. After the Air Force, I ran two rural hospitals - one in Illinois, and I was the CEO of Whitman Hospital in Colfax. I served as a Senior Vice President for Kaiser Permanente where I led a team of 1100 staff and 200 doctors to care for 115,000 members. At the same time, I was the Chairman of an Ethics Institute and an Economic Development Corporation that brought 4000 new jobs into the community. Since moving to Walla Walla, I've served as the Board President for the Walla Walla Homeless Alliance, and as a member of the city's Sustainability Committee, my Church Council, and Rotary. I am Precinct Committee Officer I earned a master's degree from Baylor University in Healthcare Administration, and a master's from the Air Force War College in Strategic Studies. My bachelor's degree is from Oral Roberts University with double majors in Business and Communications. I completed the Executive Leadership Program at the Harvard School of Business.",https://ballotpedia.org/David_Womack
David Womack,U.S. House District 5,United States,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"I will work to build an economy that works for everyone - where incomes support families, there is affordable housing and childcare, and working people can plan for a secure retirement. This includes active support for rural communities and agriculture by protecting family farm viability, promoting the next generation of farmers, seeking long-term fair trade agreements, and investing in crop and climate research.I will work to create a rational, national health policy that provides coverage for all, emphasizes prevention and wellbeing, sustains urban and rural hospitals, invests in research and the next generation of healthcare workers.I will protect our rights and strive to ensure our safety by ensuring Congress does it oversight duty of the Executive Branch, advocating for a strong defensive (not offensive) military, effective border control with humane enforcement, and creating a pathway to citizenship for nonviolent undocumented immigrants.",https://ballotpedia.org/David_Womack
David Womack,U.S. House District 5,United States,3,What areas of public policy are you personally passionate about?,"We are a region of hard working people that cherish freedom and community. We pitch in to help our neighbors. Yet, the blessings of America are far out of reach. It's harder to find a home, afford healthcare, raise a family and near impossible to start a farm. And, the government is now trampling on our rights our neighbors. It doesn't have to be this way. My public policy passions are to change this.I'm passionate about creating a brighter future for Eastern Washington. I want to: - Build an economy that works for urban and rural communities - Create a national health policy that provides affordable care for all - Support agriculture and family farms - Protect our rights and safety",https://ballotpedia.org/David_Womack
Jerrod Sessler,U.S. House District 4,United States,1,Who are you? Tell us about yourself.,"Jerrod Sessler is a successful businessman so he is not going to DC, like so many have, to bolster himself. Instead, he is passionate and called to serve this great nation just as he did honorably in the US Navy. Jerrod has been married for twenty-five years and together, he and his wife, have three grown kids. Jerrod has received many honors both in the military and in business throughout his life. He is a former NASCAR driver and also a terminal cancer survivor. Jerrod is one of those people that time and time again defeats the odds by accomplishing what most others say is impossible.",https://ballotpedia.org/Jerrod_Sessler
Jerrod Sessler,U.S. House District 4,United States,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,America FirstConstitutionalistConservative,https://ballotpedia.org/Jerrod_Sessler
